timedelta
10501
13783
11651
11197
9261
12246
11362
13224
9983
9216
9530
11324
9302
11978
15984
8636
12951
10844
11085
9000
4849
13865
10684
15661
11027
10851
9327
9076
12426
13225
5823
14296
12489
10155
15046
14907
10995
8056
8887
14783
12865
7340
5253
10461
12431
11399
11325
13298
8473
9633
