timedelta
101
42
37
38
43
43
36
33
31
27
43
29
15
23
25
16
20
24
16
24
24
16
26
20
16
20
34
66
25
31
28
36
36
24
24
26
26
22
21
28
19
17
20
30
22
24
45
24
30
21
24
19
14
19
20
27
23
22
21
28
22
26
17
23
17
24
37
19
17
15
14
16
17
13
14
18
15
19
15
12
16
23
17
14
14
23
15
16
19
15
15
20
20
17
18
20
