4,411
4,393
4,417
4,416
4,405
4,417
4,387
4,425
4,407
4,387
4,394
4,400
4,426
4,377
4,423
5,391
5,414
5,414
5,397
5,424
5,434
5,423
5,437
5,436
5,424
5,441
5,402
5,436
5,424
5,439
8,449
8,463
8,468
8,478
8,445
8,431
8,471
8,449
8,466
8,449
8,427
8,451
8,437
8,450
8,452
16,604
16,579
16,567
16,565
16,588
16,568
16,594
16,583
16,574
16,575
16,567
16,579
16,592
16,559
16,582
32,1037
32,1036
32,1148
32,1098
32,1072
32,1123
32,1117
32,1139
32,1010
32,1095
32,1083
32,1110
32,1065
32,985
32,1125
64,1588
64,1573
64,1620
64,1662
64,1863
64,1671
64,1703
64,1625
64,1680
64,1618
64,1600
64,1581
64,1591
64,1642
64,1723
128,2520
128,2584
128,2676
128,2364
128,2626
128,2122
128,2356
128,2606
128,2259
128,2666
128,2127
128,2593
128,2496
128,2320
128,2578
192,2928
192,3388
192,3373
192,2951
192,3483
192,2920
192,3046
192,3390
192,3445
192,2979
192,3355
192,2797
192,3342
192,3408
192,2945
3,410
3,386
3,389
3,396
3,367
3,383
3,387
3,390
3,382
3,376
3,370
3,364
3,347
3,396
3,387
