2,326
4,394
6,548
8,741
10,985
12,1127
14,1214
16,1178
18,1299
20,1451
25,1863
30,2110
35,2448
40,2633
45,3227
50,3342
60,3912
70,4363
80,4911
90,5871
100,6146
110,6720
120,7368
130,8293
140,9343
150,9697
160,10012
170,10778
180,10953
190,11298
200,12231
210,12495
220,13452
230,13597
240,14148
250,15013
2,258
4,521
6,580
8,710
10,844
12,976
14,1089
16,1206
18,1485
20,1555
25,1899
30,2186
35,2520
40,2606
45,2911
50,3284
60,4041
70,4764
80,5140
90,6083
100,5765
110,6799
120,7680
130,8101
140,8828
150,9906
160,9802
170,10705
180,10545
190,11329
200,12238
210,12368
220,13387
230,13620
240,14061
250,15015
2,269
4,371
6,536
8,793
10,954
12,1032
14,1171
16,1264
18,1554
20,1515
25,2001
30,2183
35,2728
40,2921
45,3379
50,3157
60,4010
70,4668
80,5370
90,5875
100,6201
110,7314
120,7249
130,8464
140,8503
150,9289
160,9927
170,10379
180,10933
190,11407
200,12768
210,12267
220,12917
230,15625
240,13935
250,14758
2,284
4,485
6,646
8,813
10,876
12,1185
14,1268
16,1180
18,1280
20,1473
25,1955
30,2219
35,2423
40,2630
45,3192
50,3292
60,4016
70,4944
80,5419
90,5710
100,6218
110,7106
120,7322
130,7682
140,8885
150,9432
160,9505
170,10327
180,11501
190,11599
200,12015
210,12408
220,13437
230,13252
240,14111
250,15466
2,236
4,443
6,608
8,818
10,1052
12,933
14,1056
16,1107
18,1367
20,1453
25,1691
30,2165
35,2431
40,2808
45,3421
50,3237
60,4054
70,4566
80,5385
90,5665
100,6402
110,6834
120,7563
130,8214
140,8749
150,9509
160,9618
170,10756
180,10854
190,11440
200,12237
210,12660
220,13166
230,14253
240,14390
250,14800
2,247
4,420
6,538
8,809
10,1003
12,1122
14,1045
16,1269
18,1293
20,1630
25,1780
30,2251
35,2520
40,2816
45,3281
50,3487
60,4383
70,4648
80,5473
90,6054
100,6596
110,7467
120,7182
130,7909
140,8505
150,9033
160,9602
170,10992
180,10898
190,11302
200,12194
210,12958
220,12470
230,14019
240,14949
250,14746
2,297
4,425
6,607
8,787
10,919
12,1105
14,1163
16,1351
18,1515
20,1576
25,1775
30,2260
35,2455
40,2912
45,3173
50,3335
60,3857
70,4655
80,5417
90,5600
100,6815
110,7163
120,7911
130,8297
140,8338
150,9264
160,9702
170,11072
180,10726
190,11522
200,11816
210,12423
220,13165
230,13477
240,14265
250,14896
2,263
4,502
6,560
8,771
10,831
12,1029
14,1096
16,1132
18,1281
20,1475
25,1820
30,2357
35,2474
40,2790
45,3083
50,3452
60,4088
70,4818
80,5146
90,5860
100,6537
110,6749
120,7573
130,8061
140,8724
150,9219
160,9932
170,10583
180,11577
190,11861
200,12490
210,12733
220,12661
230,14183
240,14613
250,14809
2,258
4,592
6,558
8,718
10,892
12,1041
14,1125
16,1287
18,1516
20,1693
25,1939
30,2063
35,2496
40,3237
45,3019
50,3366
60,3922
70,4593
80,5262
90,5447
100,6143
110,7164
120,7928
130,8236
140,8789
150,9894
160,10402
170,10119
180,11425
190,11412
200,11889
210,13039
220,13237
230,13185
240,13954
250,14082
2,256
4,433
6,587
8,743
10,852
12,936
14,1186
16,1204
18,1445
20,1383
25,1818
30,2051
35,2428
40,2861
45,3059
50,3366
60,3821
70,4732
80,5497
90,5897
100,6312
110,6693
120,7687
130,7647
140,8090
150,9455
160,10930
170,11009
180,10806
190,12366
200,11843
210,12318
220,14292
230,13797
240,14408
250,15160
2,280
4,446
6,531
8,646
10,785
12,980
14,1146
16,1161
18,1450
20,1504
25,1815
30,2228
35,2557
40,3048
45,3218
50,3468
60,4312
70,4693
80,5254
90,5977
100,6245
110,6630
120,7795
130,8354
140,8780
150,8686
160,9456
170,10373
180,11027
190,11645
200,13058
210,12560
220,12873
230,14209
240,14200
250,14639
2,226
4,511
6,703
8,701
10,905
12,956
14,1089
16,1396
18,1281
