2,531
4,469
8,841
10,1043
20,2036
40,3279
60,4781
80,5832
100,7555
120,8738
140,10317
180,12553
220,15626
250,17245
2,360
4,451
8,842
10,1158
20,1888
40,3394
60,5108
80,6067
100,7999
120,9720
140,10302
180,13278
220,16345
250,17650
2,319
4,500
8,942
10,981
20,1916
40,3402
60,4894
80,5936
100,8137
120,8989
140,9941
180,12682
220,15602
250,17933
2,347
4,522
8,897
10,1140
20,1842
40,3125
60,4836
80,6212
100,7465
120,9232
140,10522
180,12616
220,16024
250,17331
2,395
4,492
8,885
10,1278
20,1682
40,3537
60,4540
80,5854
100,7837
120,9365
140,10329
180,12536
220,15188
250,18504
2,367
4,562
8,957
10,1146
20,2006
40,3376
60,4569
80,6192
100,7707
120,8833
140,10073
180,12315
220,15737
250,18148
2,327
4,438
8,1036
10,1048
20,1947
40,3329
60,5153
80,6179
100,7786
120,8709
140,9935
180,12470
220,15501
250,17498
2,442
4,500
8,972
10,1040
20,1979
40,3355
60,4704
80,7895
100,7457
120,8764
140,10483
180,12583
220,15836
250,17749
2,312
4,520
8,878
10,1192
20,1889
40,3427
60,4898
80,6083
100,7923
120,9276
140,10281
180,12982
220,15441
250,17833
2,289
4,507
8,833
10,1024
20,2058
40,3386
60,4722
80,6173
100,7635
120,9071
140,10449
180,12454
220,15473
250,18430
2,308
4,559
8,920
10,1036
20,1858
40,3414
60,4817
80,5872
100,7453
120,8582
140,9763
180,12930
220,15789
250,17881
2,372
4,488
8,1086
10,1105
20,1965
40,3502
60,4718
80,6170
100,7644
120,8932
140,10285
180,12644
220,15580
250,17670
2,364
4,513
8,937
10,1187
20,2073
40,3148
60,4771
80,6157
100,7693
120,8899
140,9971
180,12559
220,15487
250,18857
2,361
4,535
8,953
10,1128
20,1911
40,3338
60,5112
80,5868
100,7566
120,8662
140,10273
180,12176
220,16036
250,17000
2,308
4,473
8,935
10,1098
20,1816
40,3338
60,4700
80,5986
100,7555
120,8775
140,10486
180,13172
220,15365
250,17809
2,333
4,434
8,913
10,1043
20,1942
40,3263
60,4844
80,6170
100,8016
120,8926
140,10508
180,12666
220,15028
250,17609
2,317
4,484
8,908
10,1068
20,1969
40,3192
60,4879
80,6355
100,7607
120,10140
140,10258
180,13003
220,15036
250,17110
2,397
4,489
8,973
10,1144
20,1877
40,3352
60,4652
80,5748
100,7611
120,8991
140,10515
180,13196
220,15724
250,17608
2,389
4,548
8,948
10,970
20,2015
40,3481
60,4861
80,6123
100,7281
120,8536
140,9971
180,12746
220,15366
250,17351
2,333
4,476
8,937
10,1110
20,2024
40,3494
60,4626
80,5980
100,7499
120,9128
140,10418
180,12928
220,16940
250,17529
2,332
4,552
8,976
10,1101
20,1815
40,3354
60,4994
80,5966
100,7842
120,8675
140,10939
180,12526
220,16922
250,17405
2,306
4,454
8,866
10,1030
20,1933
40,3222
60,4577
80,5892
100,8047
120,9075
140,10275
180,12751
220,15067
250,17495
2,470
4,498
8,904
10,1091
20,1947
40,3243
60,4395
80,6015
100,7565
120,8791
140,10695
180,13186
220,15239
250,17522
2,351
4,513
8,903
10,1311
20,1982
40,3137
60,4556
80,5998
100,7788
120,8866
140,9886
180,12681
220,15158
250,17060
2,456
4,489
8,903
10,1020
20,1867
40,3309
60,4857
80,5994
100,7616
120,8889
140,10564
180,13032
220,14879
250,19052
2,343
4,450
8,868
10,1012
20,1972
40,3373
60,4683
80,6034
100,7405
120,8737
140,9950
180,13106
220,15482
250,17189
2,500
4,559
8,1117
10,1015
20,1859
40,3177
60,4681
80,6143
100,7296
120,8877
140,11025
180,13333
220,15396
250,16923
2,383
4,485
8,893
10,1098
20,1890
40,3265
60,4643
80,5941
100,7543
120,8804
140,9966
180,12644
220,14902
250,18140
2,390
4,491
8,942
10,1104
20,1941
40,3484
60,4820
80,6492
100,7573
120,8754
140,10367
180,13334
220,15377
250,17683
2,395
4,568
8,901
10,1116
20,1899
40,3157
60,5060
80,6183
100,7474
120,9183
140,10088
180,12573
220,15242
250,17565
270,19277
300,21090
330,24166
350,24192
380,26471
270,17892
300,20770
330,23780
350,24724
380,27742
270,19006
300,21348
330,22962
350,23936
380,26784
270,19029
300,20918
330,23705
350,24119
380,25508
270,18210
300,19780
330,22607
350,24124
380,27217
270,17978
300,20526
330,21974
350,24449
380,27912
270,18139
300,20678
330,23766
350,25219
380,26965
270,19247
300,20678
330,23341
350,24885
380,26253
270,18999
300,20039
330,23381
350,24029
380,25534
270,18846
300,20980
330,22773
350,23502
380,25534
270,18403
300,20452
330,22501
350,24224
380,27292
270,18539
300,20269
330,23493
350,24793
380,26333
270,18522
300,21436
330,22858
350,24683
380,27673
270,18741
300,21196
330,22733
350,23712
380,27178
270,18405
300,21858
330,22764
350,23666
380,26135
270,18610
300,21195
330,22637
350,24374
380,26354
270,19596
300,25102
330,22949
350,23814
380,26078
270,19334
300,20641
330,23536
350,24530
380,26261
270,18501
300,21721
330,22491
350,24125
380,25819
270,18597
300,21323
330,24143
350,24244
380,26452
270,18136
300,20332
330,22399
350,24638
380,26124
270,19571
300,21518
330,23487
350,24262
380,27120
270,19440
300,21085
330,22430
350,24238
380,26828
270,18853
300,20627
330,23152
350,23943
380,25848
270,18501
300,20295
330,23601
350,25262
380,26505
270,18565
300,21456
330,23033
350,23038
380,25870
270,18486
300,20816
330,22403
350,23508
380,27020
270,18871
300,20623
330,22718
350,23804
380,30973
270,18383
300,21342
330,22242
350,24824
380,26807
270,19372
300,21608
330,22963
350,25317
380,25840
